household_id,segment_tier,persona_tag,office_location,tenure_years,policy_count,lines_count,bundled_flag,home_flag,auto_flag,umbrella_flag,primary_carrier,secondary_carrier,account_round_opportunity_flag_home,account_round_opportunity_flag_auto,account_round_opportunity_flag_umbrella  ,multiple_carrier_flag,bundle_opportunity_flag,written_premium_total,earned_premium_ytd,commission_rate_pct,renewal_date,escrow_flag,auto_pay_flag,auto_premium,home_premium,year_built,roof_age_years,roof_upgrade_flag,water_backup_limit,service_line_coverage_limit,equipment_breakdown_flag,roof_surfacing_loss_settlement,refrigerated_products_flag,key_fob_replacement_flag,pet_injury_flag,seepage_leakage_coverage_flag,bundle_discount_flag,eft,pay_in_full,paperless,multicar,safe_driver,alarm,service_touches_12m,avg_minutes_per_touch,remarkets_12m,est_minutes_per_remarket,claims_open_count,claims_closed_12m,retained_last_term_flag,churn_risk_score_0_1,data_confidence,last_reviewed_date,remarket_reason,service_channel
HH0051,Gold,Young Family,Seattle,4.5,2,3,1,1,1,1,CarrierA,CarrierC,1,0,0,0,0,5200,5080,12.5,2023-11-10,1,1,2400,2800,2009,4,0,12000,3500,1,1,0,0,1,1,1,0,1,1,0,10,6,1,88,0,2,1,0.1,Measured,2025-09-05,Rate Increase,Phone,,
HH0052,Silver,Retiree,Portland,9.2,3,2,1,0,0,1,CarrierB,CarrierD,1,1,0,1,1,3700,3650,11,2023-12-15,0,1,0,1600,1997,10,0,5000,1000,0,0,1,0,0,1,1,0,1,0,1,7,4,1,75,1,3,1,0.08,Estimated,2025-08-12,Appetite Change,Portal,,
HH0053,Bronze,Single,San Francisco,2.8,1,1,0,1,0,0,CarrierC,,0,1,1,1,1,2100,2050,10.2,2024-01-20,1,0,0,900,2016,7,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,5,0,82,0,0,1,0.2,Assumed,2025-08-20,Carrier Exit,Email,,
HH0054,Gold,Young Family,Seattle,6,2,3,0,0,1,0,CarrierA,CarrierB,1,0,1,1,1,5400,5300,13,2024-03-05,1,0,2500,2900,2012,3,0,15000,4000,1,0,0,1,1,1,1,1,1,1,1,15,5,2,90,1,4,1,0.06,Measured,2025-07-25,Price,Text,,
HH0055,Silver,Empty Nester,Portland,4.1,2,2,0,0,1,0,CarrierE,CarrierC,1,0,1,1,1,3800,3700,11.5,2024-04-10,0,1,2150,1700,2003,9,0,8000,2000,0,1,0,0,0,1,1,0,1,0,1,8,3,1,70,0,1,1,0.14,Assumed,2025-08-10,UW Doc,Phone,,
HH0056,Bronze,Student,San Francisco,3.3,1,1,0,0,0,0,CarrierD,,0,1,1,1,1,1800,1750,10.4,2024-05-15,0,0,0,900,2018,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,6,1,85,0,0,1,0.17,Estimated,2025-06-01,Appetite Change,Portal,,
HH0057,Gold,Young Family,Seattle,11.1,4,4,1,0,1,1,CarrierA,CarrierE,1,0,0,1,1,7600,7500,15.2,2024-06-30,1,1,3150,2700,1993,16,1,20000,4500,1,1,1,1,1,1,1,1,1,1,1,20,5,3,100,2,8,1,0.03,Measured,2025-08-08,Rate Increase,Phone,,
HH0058,Silver,Retiree,Portland,7,3,2,0,0,1,1,CarrierB,CarrierA,1,0,0,1,1,3950,3850,11.8,2024-07-12,0,1,1750,2050,1999,11,0,7000,1500,0,0,1,0,0,1,1,0,1,1,0,9,7,2,92,1,2,1,0.09,Estimated,2025-07-20,Carrier Exit,Email,,
HH0059,Bronze,Single,San Francisco,3,1,1,0,0,0,0,CarrierC,,0,1,1,1,1,2200,2150,10.6,2024-08-18,1,0,0,900,2015,8,0,0,0,0,0,0,0,0,0,1,0,1,0,1,6,6,1,80,0,1,1,0.18,Assumed,2025-07-01,Price,Text,,
HH0060,Gold,Young Family,Seattle,8.5,3,3,1,1,1,1,CarrierA,CarrierD,1,0,0,0,0,5000,4900,14.4,2024-09-25,0,1,2600,2300,2005,7,0,12000,4000,1,1,0,1,1,0,1,1,1,1,1,12,5,2,96,1,5,1,0.05,Measured,2025-08-28,Rate Increase,Phone,,
